OBJECTID,GEOID,State_or_Territory,Median_Income,Abbreviation,Overall_Index_Ranking,Overall_Index,Wage_Dimension_Ranking,Wage_Dimension_Index,Worker_Protection_Dimension_Ranking,Worker_Protection_Dimension_Index,Right_to_Organize_Dimension_Ranking,Right_to_Organize_Dimension_Index,MIT_Living_Wage_2022,Minimum_Wage_2022,Wage_Ratio,Minimum_Tipped_Cash_Wage_2021,Tip_Wage_Ratio,Working_Family_Weekly_UI_Benefit,UI_to_MIT_Living_Wage_Ratio,UI_Ratio_with_CARES,Local_Control_of_Minimum_Wage,Farmworkers_Covered_by_Minimum_Wage,Private_Sector_Pregnant_Worker_Accommodation,Private_Sector_Right_to_Pump,Basic_Equal_Pay,No_Pay_Secrecy,No_Private_Sector_Salary_History,Family_Leave_in_Place,Sick_Leave_in_Place,Flexible_Scheduling,Reporting_Pay,Split_Shift_Pay,Advanced_Shift_Notice,Sexual_Harassment_in_the_Law,Farmworker_Compensation,Domestic_Worker_Protections,Heat_Standard,Right_to_Work,Teachers_Collective_Bargaining,Teachers_Wage_Negotiation,PLAs_Allowed_Locally,Protections_From_Retaliation,Collective_Bargaining,Protections_From_Retaliation_text,2021_gdp_millionsOfDollars,2021_percentChange,Minimum_Wage,Minimum_Tipped_Wage,Same_as_regular_minimum_wage,Minimum_Wage_map,Minimum_Tipped_Wage_map
1,1,Alabama,54943,AL,49,10.06015619,47,6.400390484,49,14.28571429,47,10,35.02,7.25,20.7,2.13,0.293793103,145,0.103512279,0.120672437,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,254110,10.1,$7.25 ,$2.13 ,No state minimum wage requirement. Federal minimum wage applies.,7.25,2.13
2,2,Alaska,80287,AK,24,43.65741261,18,58.10186486,37,22.61904762,29,50,36.4,10.34,28.4,10.34,1,241.5648,0.16590989,0.19074921,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,No,Yes,Yes,No,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,57349,13.6,$10.85 ,$10.85 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr). Employers must pay tipped workers full state minimum wage before tips.,10.85,10.85
3,4,Arizona,65913,AZ,20,52.05391149,7,69.71811205,25,33.33333333,29,50,37.82,12.8,33.8,9.8,0.765625,240,0.158646219,0.185070944,Yes,"Yes, with some exceptions.",No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,1,Allowed,"Yes. Policy includes back pay, monetary damages, recovered attorney fees, right to take complaints to a government agency and court, and potential for government-imposed fine.",420027,9.9,$13.85 ,$10.85 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,13.85,10.85
4,5,Arkansas,52123,AR,33,29.49242984,24,44.56440793,32,26.19047619,47,10,34.81,11,31.6,2.63,0.239090909,220,0.158000575,0.17828201,No,"Yes, with some exceptions.",No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,0,No,No. Criminal penalities only against wage theft retaliation (no civil penalties).,148676,11,$11.00 ,$2.63 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,11,2.63
5,6,California,84097,CA,2,85.55541626,5,70.13854064,2,92.85714286,1,100,46.75,14,29.9,14,1,280,0.14973262,0.342885133,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1,Required,"Yes. Policy includes back pay, monetary damages, recovered attorney fees, right to take complaints to a government agency and court, and potential for government-imposed fine.",3373241,11.7,$15.50 ,$15.50 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr). Employers must pay tipped workers full state minimum wage before tips.,15.5,15.5
6,8,Colorado,80184,CO,9,68.38044789,4,70.95111973,10,64.28571429,22,70,40.11,12.56,31.3,9.54,0.75955414,301.44,0.187883321,0.390955924,Yes,"Yes, with some exceptions.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,436359,11.5,$13.65 ,$10.63 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,13.65,10.63
7,9,Connecticut,83572,CT,7,75.29257279,3,72.60643198,5,75,11,80,40.76,14,34.3,6.38,0.455714286,310,0.19013739,0.417521242,Yes,"Yes, with some exceptions.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,298395,8,$14.00 ,$6.38 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,14,6.38
8,10,Delaware,72724,DE,21,51.09482883,27,40.23707208,20,42.85714286,11,80,38.93,10.5,27,2.23,0.212380952,237.3913043,0.152447537,0.376019523,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,81160,7,$11.75 ,$2.23 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,11.75,2.23
9,11,District of Columbia,93547,DC,4,80.23335907,2,76.62506435,8,70.23809524,1,100,45.17,16.1,35.6,5.05,0.313664596,322,0.17821563,0.392411642,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,1,Required,"Yes. Policy includes back pay, monetary damages, recovered attorney fees, right to take complaints to a government agency and court, and potential for government-imposed fine.",153670,6.2,$16.50 ,$5.35 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,16.5,5.35
10,12,Florida,61777,FL,29,37.87055952,30,37.38473213,37,22.61904762,26,60,37.25,10,26.8,6.98,0.698,200,0.134228188,0.133983891,No,"Yes, with some exceptions.",No,No,Yes,No,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,Yes,Yes,Yes,No,1,Required,"Yes. Policy includes back pay, monetary damages, recovered attorney fees, right to take complaints to a government agency and court, and potential for government-imposed fine.",1255558,12.4,$11.00 ,$7.98 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,11,7.98
11,13,Georgia,65030,GA,50,7.523680142,46,8.392533688,50,11.9047619,49,0,36.8,7.25,19.7,2.13,0.293793103,179.5238095,0.12195911,0.139252102,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0,No,No. Criminal penalities only against wage theft retaliation (no civil penalties).,691627,10.6,$7.25 ,$2.13 ,Minimum wage and minimum tipped wage are the same as federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,7.25,2.13
12,15,Hawaii,88005,HI,19,57.89850842,23,44.74627105,11,57.14285714,11,80,45.71,10.1,22.1,9.35,0.925742574,250.0952381,0.136783657,0.340405469,Yes,"Yes, with some exceptions.",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,91096,10.4,$12.00 ,$11.00 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,12,11
13,16,Idaho,63377,ID,43,21.4443773,41,11.94427659,32,26.19047619,39,30,36.99,7.25,19.6,3.35,0.462068966,145,0.097999459,0.11585171,No,"Yes, with some exceptions.",No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,96283,12.1,$7.25 ,$3.35 ,Minimum wage is the same as federal minimum wage ($7.25/hr). Minimum wage for tipped workers is greater than federal minimum tipped wage ($2.13/hr).,7.25,3.35
14,17,Illinois,72563,IL,10,67.76705491,13,63.16763726,15,53.57142857,5,95,38.42,12,31.2,7.2,0.6,251.6,0.163716814,0.409468183,Yes,"Yes, with some exceptions.",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,Yes,No,No,Yes,Yes,Yes,0.75,Required,"Yes. Policy includes back pay, monetary damages, recovered attorney fees, and right to take complaints to a government agency and court. Does not include government-imposed fine.",945674,10.4,$13.00 ,$7.80 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,13,7.8
15,18,Indiana,61944,IN,36,26.40038609,48,5.584298563,32,26.19047619,26,60,34.73,7.25,20.9,2.13,0.293793103,136.3,0.098114022,0.11305574,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,412975,10.5,$7.25 ,$2.13 ,Minimum wage and minimum tipped wage are the same as federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,7.25,2.13
16,19,Iowa,65429,IA,39,24.94644697,37,17.57445076,37,22.61904762,32,40,37.87,7.25,19.1,4.35,0.6,179.5238095,0.118513209,0.143343827,No,"Yes, with some exceptions.",No,No,Yes,No,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,Yes,Yes,Yes,No,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,216860,10.1,$7.25 ,$4.35 ,Minimum wage is the same as federal minimum wage ($7.25/hr). Minimum wage for tipped workers is greater than federal minimum tipped wage ($2.13/hr).,7.25,4.35
17,20,Kansas,64521,KS,46,18.47858843,50,4.529804399,45,19.04761905,32,40,37.45,7.25,19.4,2.13,0.293793103,160.225,0.106959279,0.375265003,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,191381,7.8,$7.25 ,$2.13 ,Minimum wage and minimum tipped wage are the same as federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,7.25,2.13
18,21,Kentucky,55454,KY,35,26.76145126,39,12.73696147,25,33.33333333,32,40,34.49,7.25,21,2.13,0.293793103,179.79884,0.13032679,0.396135106,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,237182,9.4,$7.25 ,$2.13 ,Minimum wage and minimum tipped wage are the same as federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,7.25,2.13
19,22,Louisiana,53571,LA,42,22.97727789,44,8.484861383,24,34.52380952,39,30,36.96,7.25,19.6,2.13,0.293793103,182.091,0.123167614,0.374759795,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,Yes,Yes,No,No,0.5,Allowed,"Yes. Policy includes back pay, recovered attorney fees, court cases against employers, and court-mandated monetary damages. Does not include government-imposed fine. No easy means to take complaint to government agency.",258571,11.2,$7.25 ,$2.13 ,No state minimum wage requirement. Federal minimum wage applies.,7.25,2.13
20,23,Maine,63182,ME,13,65.57296516,9,67.0574129,15,53.57142857,11,80,39.06,12.75,32.6,6.38,0.500392157,321.3636364,0.205685891,0.468359934,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,No,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,77963,10.2,$13.80 ,$6.90 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,13.8,6.9
21,24,Maryland,91431,MD,14,63.04547895,15,60.73869739,15,53.57142857,11,80,40.4,12.5,30.9,3.63,0.2904,286.8333333,0.177495875,0.19103596,Yes,"Yes, with some exceptions.",Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,No,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,443930,8,$13.25 ,$3.63 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,13.25,3.63
22,25,Massachusetts,89026,MA,6,76.35602157,8,69.01505392,5,75,7,90,43.77,14.25,32.6,6.15,0.431578947,335,0.191341101,0.446428571,Yes,"Yes, with some exceptions.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,0.5,Required,"Yes. Policy includes back pay, recovered attorney fees, court cases against employers, and court-mandated monetary damages. Does not include government-imposed fine. No easy means to take complaint to government agency.",641332,9.6,$15.00 ,$6.75 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,15,6.75
23,26,Michigan,63202,MI,31,36.04214179,29,38.02202115,29,30.95238095,32,40,35.94,9.87,27.5,3.75,0.37993921,222.4284,0.154722037,0.436394134,No,"Yes, with some exceptions.",No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,Yes,Yes,Yes,No,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,572206,10,$10.10 ,$3.84 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,10.1,3.84
24,27,Minnesota,77706,MN,18,58.5606537,19,53.69330091,21,41.66666667,7,90,38.9,10.33,26.6,10.33,1,206.6,0.13277635,0.380461165,Yes,"Yes, with some exceptions.",Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,No,Yes,Yes,Yes,0.5,Required,"Yes. Policy includes back pay, recovered attorney fees, court cases against employers, and court-mandated monetary damages. Does not include government-imposed fine. No easy means to take complaint to government agency.",412459,9.5,$10.59 ,$10.59 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr). Employers must pay tipped workers full state minimum wage before tips.,10.59,10.59
25,28,Mississippi,49111,MS,51,7.106497531,49,5.266243827,52,0,44,20,35.67,7.25,20.3,2.13,0.293793103,145,0.101626016,0.120471918,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,127308,10.6,$7.25 ,$2.13 ,No state minimum wage requirement. Federal minimum wage applies.,7.25,2.13
