OBJECTID,GEOID,State_or_Territory,Median_Income,Abbreviation,Overall_Index_Ranking,Overall_Index,Wage_Dimension_Ranking,Wage_Dimension_Index,Worker_Protection_Dimension_Ranking,Worker_Protection_Dimension_Index,Right_to_Organize_Dimension_Ranking,Right_to_Organize_Dimension_Index,MIT_Living_Wage_2022,Minimum_Wage_2022,Wage_Ratio,Minimum_Tipped_Cash_Wage_2021,Tip_Wage_Ratio,Working_Family_Weekly_UI_Benefit,UI_to_MIT_Living_Wage_Ratio,UI_Ratio_with_CARES,Local_Control_of_Minimum_Wage,Farmworkers_Covered_by_Minimum_Wage,Private_Sector_Pregnant_Worker_Accommodation,Private_Sector_Right_to_Pump,Basic_Equal_Pay,No_Pay_Secrecy,No_Private_Sector_Salary_History,Family_Leave_in_Place,Sick_Leave_in_Place,Flexible_Scheduling,Reporting_Pay,Split_Shift_Pay,Advanced_Shift_Notice,Sexual_Harassment_in_the_Law,Farmworker_Compensation,Domestic_Worker_Protections,Heat_Standard,Right_to_Work,Teachers_Collective_Bargaining,Teachers_Wage_Negotiation,PLAs_Allowed_Locally,Protections_From_Retaliation,Collective_Bargaining,Protections_From_Retaliation_text,2021_gdp_millionsOfDollars,2021_percentChange,Minimum_Wage,Minimum_Tipped_Wage,Same_as_regular_minimum_wage,Minimum_Wage_map,Minimum_Tipped_Wage_map
26,29,Missouri,61043,MO,30,37.26649041,22,45.24955935,45,19.04761905,29,50,37.1,11.15,30.1,5.58,0.50044843,231.92,0.156280323,0.169762282,No,"Yes, with some exceptions.",No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,358572,8.6,$12.00 ,$6.00 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,12,6
27,30,Montana,60560,MT,26,42.8512161,21,49.83637359,37,22.61904762,26,60,36.92,9.2,24.9,9.2,1,191.36,0.129577465,0.144215531,Yes,"Yes, with some exceptions.",No,No,Yes,No,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,No,Yes,Yes,No,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,58700,12.1,$9.95 ,$9.95 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr). Employers must pay tipped workers full state minimum wage before tips.,9.95,9.95
28,31,Nebraska,66644,NE,25,43.36282436,32,28.19872757,21,41.66666667,22,70,37.36,9,24.1,2.13,0.236666667,180,0.120449679,0.143129771,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,Yes,Yes,Yes,Yes,0.5,Required,"Yes. Policy includes back pay, recovered attorney fees, court cases against employers, and court-mandated monetary damages. Does not include government-imposed fine. No easy means to take complaint to government agency.",146285,8.7,$10.50 ,$2.13 ,Minimum wage is greater than federal minimum wage ($7.25/hr). Minimum wage for tipped workers is the same as federal minimum tipped wage ($2.13/hr).,10.5,2.13
29,32,Nevada,65686,NV,16,60.35838781,17,60.27096952,15,53.57142857,22,70,36.58,10.5,28.7,9.75,0.928571429,218.4,0.149261892,0.400657895,Yes,"Yes, with some exceptions.",Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,0.5,Required,"Yes. Policy includes back pay, recovered attorney fees, court cases against employers, and court-mandated monetary damages. Does not include government-imposed fine. No easy means to take complaint to government agency.",194487,12.7,$10.50 ,$10.50 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr). Employers must pay tipped workers full state minimum wage before tips.,10.5,10.5
30,33,New Hampshire,83449,NH,28,41.70463901,34,20.92826418,23,38.0952381,11,80,37.04,7.25,19.6,3.26,0.449655172,165.88,0.111960043,0.133947028,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,99673,12.8,$7.25 ,$3.26 ,Minimum wage is the same as federal minimum wage ($7.25/hr). Minimum wage for tipped workers is greater than federal minimum tipped wage ($2.13/hr).,7.25,3.26
31,34,New Jersey,89703,NJ,8,74.76578143,12,65.03945357,5,75,7,90,43.44,13,29.9,5.13,0.394615385,346.32,0.199309392,0.440363843,Yes,"Yes, with some exceptions.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,0.5,Required,"Yes. Policy includes back pay, recovered attorney fees, court cases against employers, and court-mandated monetary damages. Does not include government-imposed fine. No easy means to take complaint to government agency.",682946,10.1,$14.13 ,$5.26 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,14.13,5.26
32,35,New Mexico,54020,NM,12,65.64474879,11,66.19520531,14,54.76190476,11,80,36.61,11.5,31.4,2.8,0.243478261,296.1,0.202198853,0.454955668,Yes,"Yes, with some exceptions.",Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,109583,10.9,$12.00 ,$3.00 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,12,3
33,36,New York,75157,NY,5,79.3061578,10,67.0153945,3,78.57142857,1,100,43.1,13.2,30.6,8.8,0.666666667,264,0.153132251,0.382156754,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,1,Required,"Yes. Policy includes back pay, monetary damages, recovered attorney fees, right to take complaints to a government agency and court, and potential for government-imposed fine.",1901297,9.2,$14.20 ,$9.45 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,14.2,9.45
34,37,North Carolina,60516,NC,52,4.552743163,51,4.090191241,51,8.333333333,49,0,36.37,7.25,19.9,2.13,0.293793103,145,0.099670058,0.355886116,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Partially covered or covered with exceptions.,No,No,Yes,No,No,No,0,No,No. Criminal penalities only against wage theft retaliation (no civil penalties).,662121,10.6,$7.25 ,$2.13 ,Minimum wage and minimum tipped wage are the same as federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,7.25,2.13
35,38,North Dakota,68131,ND,40,24.11869973,35,18.63008266,32,26.19047619,39,30,34.94,7.25,20.7,4.86,0.670344828,145,0.103749284,0.122673435,No,"Yes, with some exceptions.",Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,0.5,Allowed,"Yes. Policy includes back pay, recovered attorney fees, court cases against employers, and court-mandated monetary damages. Does not include government-imposed fine. No easy means to take complaint to government agency.",63560,16.8,$7.25 ,$4.86 ,Minimum wage is the same as federal minimum wage ($7.25/hr). Minimum wage for tipped workers is greater than federal minimum tipped wage ($2.13/hr).,7.25,4.86
36,39,Ohio,61938,OH,23,49.09151677,26,40.43712527,32,26.19047619,5,95,34.83,9.3,26.7,4.65,0.5,188,0.134941143,0.148900169,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,0.75,Required,"Yes. Policy includes back pay, monetary damages, recovered attorney fees, and right to take complaints to a government agency and court. Does not include government-imposed fine.",756617,10.6,$10.10 ,$5.05 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,10.1,5.05
37,40,Oklahoma,56956,OK,45,18.79830497,45,8.454095769,37,22.61904762,39,30,35.47,7.25,20.4,2.13,0.293793103,163.9130435,0.115529351,0.134003469,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,Yes,Yes,Yes,No,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,215336,13.3,$7.25 ,$2.13 ,Minimum wage and minimum tipped wage are the same as federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,7.25,2.13
38,41,Oregon,70084,OR,1,86.72192196,6,69.9298049,1,96.42857143,1,100,41.36,13.5,32.6,13.5,1,351,0.212161509,0.429292929,No,"Yes, with some exceptions.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1,Required,"Yes. Policy includes back pay, monetary damages, recovered attorney fees, right to take complaints to a government agency and court, and potential for government-imposed fine.",272191,9.8,$13.50 ,$13.50 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr). Employers must pay tipped workers full state minimum wage before tips.,13.5,13.5
39,42,Pennsylvania,67587,PA,32,33.41922416,38,13.75639374,37,22.61904762,11,80,36.34,7.25,20,2.83,0.390344828,157.744,0.108519538,0.39352132,No,"Yes, with some exceptions.",No,No,Yes,No,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,No,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,844496,9.4,$7.25 ,$2.83 ,Minimum wage is the same as federal minimum wage ($7.25/hr). Minimum wage for tipped workers is greater than federal minimum tipped wage ($2.13/hr).,7.25,2.83
40,44,Rhode Island,74489,RI,15,60.65883463,20,51.64708658,11,57.14285714,11,80,38.11,12.25,32.1,3.89,0.31755102,275.245,0.180559564,0.441264965,No,"Yes, with some exceptions.",Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Partially covered or covered with exceptions.,No,No,No,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,66571,9.5,$13.00 ,$3.89 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,13,3.89
41,45,South Carolina,58234,SC,47,12.51241009,52,2.11435857,25,33.33333333,49,0,37.61,7.25,19.3,2.13,0.293793103,145,0.09638394,0.109252562,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,0,No,No. Criminal penalities only against wage theft retaliation (no civil penalties).,269802,10,$7.25 ,$2.13 ,No state minimum wage requirement. Federal minimum wage applies.,7.25,2.13
42,46,South Dakota,63920,SD,27,42.22867879,14,60.78003031,37,22.61904762,32,40,33.83,9.95,29.4,4.975,0.5,199,0.147058824,0.161870504,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,Yes,Yes,Yes,No,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,61685,10.8,$10.80 ,$5.40 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,10.8,5.4
43,47,Tennessee,58516,TN,41,23.11532073,42,9.871635161,25,33.33333333,39,30,33.17,7.25,21.9,2.13,0.293793103,145,0.109285499,0.125129444,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,427125,12.7,$7.25 ,$2.13 ,No state minimum wage requirement. Federal minimum wage applies.,7.25,2.13
44,48,Texas,67321,TX,48,11.5645172,40,12.24462632,45,19.04761905,49,0,35.75,7.25,20.3,2.13,0.293793103,150.8,0.105454545,0.122601626,No,"Yes, with some exceptions.",No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,0,No,No. Criminal penalities only against wage theft retaliation (no civil penalties).,2051769,14.6,$7.25 ,$2.13 ,Minimum wage and minimum tipped wage are the same as federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,7.25,2.13
45,49,Utah,79133,UT,44,18.94474594,43,8.820198187,30,29.76190476,44,20,36.86,7.25,19.7,2.13,0.293793103,140,0.09495388,0.109204368,No,"Yes, with some exceptions.",Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,Yes,Yes,No,No,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,225340,11.5,$7.25 ,$2.13 ,Minimum wage and minimum tipped wage are the same as federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,7.25,2.13
46,50,Vermont,67674,VT,11,66.73069787,16,60.57674468,11,57.14285714,7,90,39.53,12.55,31.7,6.28,0.500398406,290.0444444,0.183433117,0.434048873,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,No,Yes,Yes,Yes,0.5,Required,"Yes. Policy includes back pay, recovered attorney fees, court cases against employers, and court-mandated monetary damages. Does not include government-imposed fine. No easy means to take complaint to government agency.",37104,9.1,$13.18 ,$6.59 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,13.18,6.59
47,51,Virginia,80615,VA,22,49.61791329,25,40.71144989,19,48.80952381,25,65,39.18,11,28.1,2.13,0.193636364,228.8,0.145992853,0.334619952,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,Yes,No,Yes,Yes,Yes,Yes,0.75,Allowed,"Yes. Policy includes back pay, monetary damages, recovered attorney fees, and right to take complaints to a government agency and court. Does not include government-imposed fine.",604958,8.6,$12.00 ,$2.13 ,Minimum wage is greater than federal minimum wage ($7.25/hr). Minimum wage for tipped workers is the same as federal minimum tipped wage ($2.13/hr).,12,2.13
48,53,Washington,82400,WA,3,83.32861158,1,89.57152896,3,78.57142857,11,80,37.66,14.49,38.5,14.49,1,290.0898,0.192571561,0.43085695,Yes,"Yes, with some exceptions.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,677489,10.5,$15.74 ,$15.74 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr). Employers must pay tipped workers full state minimum wage before tips.,15.74,15.74
49,54,West Virginia,50884,WV,34,29.35328794,31,34.84155318,30,29.76190476,44,20,34.88,8.75,25.1,2.62,0.299428571,192.5,0.13797305,0.160416667,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,Yes,Yes,No,No,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,85434,11.6,$8.75 ,$2.63 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,8.75,2.63
50,55,Wisconsin,67080,WI,38,25.08401501,36,17.91837086,37,22.61904762,32,40,36.34,7.25,20,2.33,0.32137931,150.8,0.103742433,0.363783086,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,Yes,Yes,Yes,No,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,368611,8.2,$7.25 ,$2.33 ,Minimum wage is the same as federal minimum wage ($7.25/hr). Minimum wage for tipped workers is greater than federal minimum tipped wage ($2.13/hr).,7.25,2.33
51,56,Wyoming,68002,WY,37,25.42965505,33,21.90747097,45,19.04761905,32,40,33.88,7.25,21.4,2.13,0.293793103,150.8,0.111275089,0.12766678,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,41510,14.3,$7.25 ,$2.13 ,Minimum wage and minimum tipped wage are the same as federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,7.25,2.13
52,72,Puerto Rico,21967,PR,17,59.29922901,28,38.87307252,9,67.85714286,11,80,28.67,8.5,29.6,2.13,0.250588235,170,0.148238577,0.447866345,No,"Yes, with some exceptions.",No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,,,$8.50 ,$2.13 ,Minimum wage is greater than federal minimum wage ($7.25/hr). Minimum wage for tipped workers is the same as federal minimum tipped wage ($2.13/hr).,8.5,2.13